SYMBOL,NAME OF COMPANY, SERIES
WENDT,Wendt (India) Limited,EQ
WESTLIFE,Westlife Development Ltd,EQ
WHEELS,Wheels India Limited,EQ
WHIRLPOOL,Whirlpool of India Limited,EQ
WILLAMAGOR,Williamson Magor & Company Limited,BE
WINDLAS,Windlas Biotech Limited,EQ
WINDMACHIN,Windsor Machines Limited,EQ
WINPRO,WinPro Industries Limited,EQ
WIPL,The Western India Plywoods Limited,BE
WIPRO,Wipro Limited,EQ
WOCKPHARMA,Wockhardt Limited,EQ
WONDERLA,Wonderla Holidays Limited,EQ
WORTH,Worth Peripherals Limited,EQ
WSI,W S Industries (I) Limited,EQ
WSTCSTPAPR,West Coast Paper Mills Limited,EQ
XCHANGING,Xchanging Solutions Limited,EQ
XELPMOC,Xelpmoc Design And Tech Limited,EQ
XPROINDIA,Xpro India Limited,BE
YAARI,Yaari Digital Integrated Services Limited,EQ
YESBANK,Yes Bank Limited,EQ
YUKEN,Yuken India Limited,EQ
ZEEL,Zee Entertainment Enterprises Limited,EQ
ZEELEARN,Zee Learn Limited,EQ
ZEEMEDIA,Zee Media Corporation Limited,BE
ZENITHEXPO,Zenith Exports Limited,EQ
ZENITHSTL,Zenith Steel Pipes & Industries Limited,EQ
ZENSARTECH,Zensar Technologies Limited,EQ
ZENTEC,Zen Technologies Limited,EQ
ZODIAC,Zodiac Energy Limited,EQ
ZODIACLOTH,Zodiac Clothing Company Limited,EQ
ZOMATO,Zomato Limited,EQ
ZOTA,Zota Health Care LImited,EQ
ZUARI,Zuari Agro Chemicals Limited,EQ
ZUARIGLOB,Zuari Global Limited,EQ
ZYDUSWELL,Zydus Wellness Limited,EQ
