SYMBOL,NAME OF COMPANY, SERIES
GLOBUSSPR,Globus Spirits Limited,EQ
GLS,Glenmark Life Sciences Limited,EQ
GMBREW,GM Breweries Limited,EQ
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ
GMMPFAUDLR,GMM Pfaudler Limited,EQ
GMRINFRA,GMR Infrastructure Limited,EQ
GNA,GNA Axles Limited,EQ
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ
GOACARBON,Goa Carbon Limited,EQ
GOCLCORP,GOCL Corporation Limited,EQ
GOCOLORS,Go Fashion (India) Limited,EQ
GODFRYPHLP,Godfrey Phillips India Limited,EQ
GODHA,Godha Cabcon & Insulation Limited,BE
GODREJAGRO,Godrej Agrovet Limited,EQ
GODREJCP,Godrej Consumer Products Limited,EQ
GODREJIND,Godrej Industries Limited,EQ
GODREJPROP,Godrej Properties Limited,EQ
GOENKA,Goenka Diamond and Jewels Limited,BZ
GOKEX,Gokaldas Exports Limited,EQ
GOKUL,Gokul Refoils and Solvent Limited,EQ
GOKULAGRO,Gokul Agro Resources Limited,EQ
GOLDENTOBC,Golden Tobacco Limited,BE
GOLDIAM,Goldiam International Limited,EQ
GOLDTECH,Goldstone Technologies Limited,BE
GOODLUCK,Goodluck India Limited,EQ
GOODYEAR,Goodyear India Limited,EQ
GPIL,Godawari Power And Ispat limited,EQ
GPPL,Gujarat Pipavav Port Limited,EQ
GPTINFRA,GPT Infraprojects Limited,EQ
GRANULES,Granules India Limited,EQ
GRAPHITE,Graphite India Limited,EQ
GRASIM,Grasim Industries Limited,EQ
GRAUWEIL,Grauer & Weil (India) Limited,EQ
GRAVITA,Gravita India Limited,EQ
GREAVESCOT,Greaves Cotton Limited,EQ
GREENLAM,Greenlam Industries Limited,EQ
